ma,cons_bars,cons_range,drop_thresh,take_profit,stop_loss,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,sl_rate
50,5,3.0,3.0,5.0,3.0,229,44.10480349344978,123.62184784460736,0.5398333967013422,46.00000000000001,1.324145070046481,55.45851528384279
50,5,3.0,3.0,10.0,2.0,227,21.145374449339208,123.62184784460736,0.5445896380819707,68.00000000000001,1.3468839127677614,78.41409691629956
50,5,5.0,3.0,7.0,3.0,257,34.63035019455253,121.62184784460743,0.4732367620412741,66.00000000000009,1.2425750849369137,64.98054474708171
25,3,5.0,3.0,10.0,3.0,346,25.722543352601157,121.6218478446074,0.3515082307647613,92.00000000000006,1.1582838443589831,73.98843930635837
100,3,3.0,3.0,10.0,2.0,150,23.333333333333332,120.00000000000009,0.8000000000000006,52.00000000000011,1.5217391304347825,76.66666666666667
100,5,5.0,3.0,10.0,2.0,168,22.61904761904762,120.00000000000007,0.7142857142857147,44.00000000000011,1.4615384615384615,77.38095238095238
100,7,5.0,3.0,10.0,3.0,142,29.577464788732392,120.00000000000007,0.8450704225352118,50.0000000000001,1.4000000000000001,70.4225352112676
50,7,3.0,3.0,7.0,3.0,171,36.84210526315789,119.62184784460743,0.6995429698515054,38.00000000000001,1.3722152456299137,62.57309941520468
50,7,5.0,3.0,7.0,2.0,283,26.855123674911663,119.6218478446073,0.42269204185373604,64.00000000000011,1.29007804419166,72.79151943462897
25,7,5.0,3.0,10.0,2.0,373,19.302949061662197,119.62184784460729,0.32070200494532786,88.00000000000011,1.1992441720524936,80.42895442359249
100,5,5.0,3.0,7.0,3.0,157,37.57961783439491,119.00000000000011,0.7579617834394912,29.000000000000007,1.4047619047619049,62.42038216560509
100,3,3.0,3.0,7.0,3.0,144,38.19444444444444,118.0000000000001,0.8194444444444451,32.00000000000006,1.4419475655430711,61.80555555555556
100,3,5.0,3.0,5.0,2.0,200,37.0,118.00000000000003,0.5900000000000002,31.00000000000007,1.468253968253968,63.0
25,5,3.0,3.0,10.0,2.0,326,19.631901840490798,117.62184784460733,0.36080321424726175,88.00000000000014,1.2251660934885693,80.06134969325154
50,5,5.0,3.0,10.0,2.0,278,20.14388489208633,117.62184784460732,0.423100172102904,78.00000000000011,1.2658853003285082,79.49640287769785
25,5,3.0,3.0,5.0,5.0,261,54.406130268199234,117.45702412441314,0.4500269123540733,75.00000000000006,1.1982253252615973,45.21072796934866
25,7,5.0,3.0,5.0,5.0,291,53.95189003436426,117.45702412441312,0.4036323853072616,85.00000000000009,1.1759542506912755,45.70446735395189
100,3,2.0,3.0,7.0,5.0,104,50.96153846153846,116.00000000000007,1.115384615384616,33.00000000000004,1.4549019607843137,49.03846153846153
50,7,5.0,3.0,10.0,2.0,267,20.224719101123593,115.62184784460732,0.43304062863148807,84.00000000000009,1.272450047810827,79.40074906367042
25,7,2.0,3.0,10.0,3.0,114,30.701754385964914,115.62184784460729,1.0142267354790113,57.00000000000004,1.4933132494702404,68.42105263157895
50,3,5.0,3.0,7.0,2.0,312,26.282051282051285,115.62184784460729,0.3705828456557926,62.000000000000114,1.2522411840549736,73.3974358974359
100,3,2.0,3.0,7.0,3.0,115,40.0,114.99999999999999,0.9999999999999999,30.00000000000003,1.555555555555555,60.0
100,3,3.0,3.0,5.0,5.0,133,58.64661654135338,114.99999999999999,0.8646616541353382,30.000000000000043,1.4181818181818175,41.35338345864661
100,5,5.0,3.0,5.0,5.0,143,58.04195804195804,114.99999999999994,0.8041958041958038,30.00000000000003,1.3833333333333329,41.95804195804196
