ma,cons_bars,cons_range,drop_thresh,tp,sl,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor
48,6,1.0,3.0,3.0,1.5,10,30.0,-1.499999999999989,-0.14999999999999888,9.000000000000002,0.8571428571428583
48,6,2.0,1.5,5.0,1.5,820,23.04878048780488,-1.5000000000000957,-0.0018292682926830436,122.00000000000017,0.9984152139461172
100,6,1.0,1.5,2.0,1.0,389,33.16195372750643,-1.9999999999999172,-0.005141388174806985,50.999999999999964,0.9923076923076926
24,12,2.0,3.0,2.0,1.5,55,41.81818181818181,-1.9999999999999793,-0.03636363636363599,15.0,0.9583333333333338
100,12,2.0,3.0,2.0,1.0,14,28.57142857142857,-1.9999999999999953,-0.14285714285714252,6.000000000000005,0.8000000000000005
100,6,3.0,2.0,2.0,1.5,440,42.72727272727273,-2.0000000000000173,-0.004545454545454585,40.500000000000114,0.9947089947089948
48,6,1.0,2.0,5.0,2.0,141,28.368794326241137,-2.000000000000032,-0.014184397163120794,56.00000000000006,0.99009900990099
100,6,3.0,1.5,3.0,2.0,741,39.94601889338731,-2.0000000000002265,-0.0026990553306345836,92.00000000000033,0.9977528089887638
100,6,3.0,1.5,2.0,2.0,817,49.93880048959608,-2.0000000000002682,-0.0024479804161569993,66.00000000000023,0.9975550122249385
100,12,3.0,3.0,2.0,1.5,67,41.7910447761194,-2.5000000000000058,-0.03731343283582098,12.000000000000028,0.9572649572649572
24,24,3.0,2.0,5.0,1.0,555,16.576576576576578,-2.9999999999998517,-0.0054054054054051386,83.99999999999997,0.9935205183585317
24,12,3.0,3.0,3.0,1.0,211,24.644549763033176,-2.9999999999998863,-0.014218009478672447,35.999999999999986,0.9811320754716988
48,24,3.0,1.5,5.0,1.0,855,16.608187134502923,-2.9999999999998943,-0.003508771929824438,102.0,0.9957924263674616
48,12,3.0,3.0,3.0,1.5,80,32.5,-2.9999999999999076,-0.03749999999999885,28.499999999999996,0.962962962962964
48,6,3.0,2.0,3.0,1.5,593,33.22091062394604,-2.9999999999999125,-0.005059021922428183,44.99999999999988,0.9949494949494949
48,12,2.0,3.0,3.0,1.5,14,28.57142857142857,-2.999999999999971,-0.21428571428571222,8.999999999999995,0.8000000000000016
48,12,2.0,3.0,3.0,2.0,14,35.714285714285715,-2.9999999999999822,-0.21428571428571302,11.999999999999993,0.8333333333333343
48,6,2.0,2.0,3.0,1.5,476,33.193277310924366,-3.000000000000008,-0.006302521008403378,49.50000000000004,0.9937106918238994
100,12,1.0,1.5,3.0,1.5,77,32.467532467532465,-3.000000000000054,-0.03896103896103967,22.500000000000025,0.961538461538461
100,6,2.0,2.0,2.0,1.0,369,33.06233062330624,-3.0000000000000617,-0.008130081300813176,42.99999999999997,0.9878542510121454
48,12,1.0,1.5,2.0,1.5,107,42.05607476635514,-3.000000000000094,-0.028037383177570974,15.00000000000005,0.9677419354838701
48,12,2.0,3.0,2.0,1.5,14,35.714285714285715,-3.4999999999999645,-0.24999999999999747,8.999999999999996,0.740740740740743
24,6,1.0,1.5,5.0,2.0,772,28.497409326424872,-3.9999999999999694,-0.005181347150259028,126.00000000000003,0.9963768115942029
48,6,1.0,3.0,2.0,1.0,10,20.0,-3.9999999999999796,-0.39999999999999797,7.999999999999979,0.5000000000000013
